"Code","Lat","Lon"
"SBTL",-24.3166666666667,-50.65
"SBTE",-5.03333333333333,-42.8166666666667
"SBTS",-2.21666666666667,-55.9333333333333
"SBTD",-24.6833333333333,-53.7
"SBTR",-29.35,-49.7333333333333
"SBTU",-3.78333333333333,-49.7166666666667
"SBUR",-19.7666666666667,-47.9666666666667
"SBUL",-18.8666666666667,-48.2166666666667
"SBTC",-15.35,-38.9833333333333
"SBUP",-20.8,-51.5666666666667
"SBUG",-29.7666666666667,-57.0166666666667
"SBIP",-19.4666666666667,-42.4833333333333
"SBVG",-21.5833333333333,-45.4666666666667
"SBVH",-12.7166666666667,-60.1166666666667
"SBQV",-14.8666666666667,-40.8666666666667
"SBVT",-20.2666666666667,-40.2666666666667
"SBXV",-14.6833333333333,-52.35
